2008-12-22 15:16:18 Debug: Notice (8): Undefined index:  publicinfo in [APP\models\user.php, line 101]
2008-12-22 15:19:58 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:19:59 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:19:59 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:19:59 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:19:59 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:19:59 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:19:59 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:00 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:00 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:00 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:02 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:02 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:02 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:02 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-22 15:20:02 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 00:14:29 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 1]
2008-12-23 00:17:42 Debug: Notice (8): Trying to get property of non-object in [CORE\cake\libs\model\datasources\dbo_source.php, line 627]
2008-12-23 00:17:42 Debug: Notice (8): Trying to get property of non-object in [CORE\cake\libs\model\datasources\dbo_source.php, line 653]
2008-12-23 00:17:42 Debug: Notice (8): Trying to get property of non-object in [CORE\cake\libs\model\datasources\dbo_source.php, line 656]
2008-12-23 00:24:48 Debug: Notice (8): Trying to get property of non-object in [CORE\cake\libs\model\datasources\dbo_source.php, line 627]
2008-12-23 00:24:48 Debug: Notice (8): Trying to get property of non-object in [CORE\cake\libs\model\datasources\dbo_source.php, line 653]
2008-12-23 00:24:48 Debug: Notice (8): Trying to get property of non-object in [CORE\cake\libs\model\datasources\dbo_source.php, line 656]
