2008-12-22 15:12:34 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'user'@'localhost' (using password: YES) in [CORE\cake\libs\model\datasources\dbo\dbo_mysql.php, line 117]
2008-12-22 15:12:34 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [CORE\cake\libs\model\datasources\dbo\dbo_mysql.php, line 122]
2008-12-22 15:12:34 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [CORE\cake\libs\model\datasources\dbo\dbo_mysql.php, line 130]
2008-12-22 15:12:34 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [CORE\cake\libs\model\datasources\dbo\dbo_mysql.php, line 154]
2008-12-22 15:16:18 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'User.master_id' in 'where clause'</span> in [CORE\cake\libs\model\datasources\dbo_source.php, line 521]
2008-12-22 15:16:18 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\models\user.php, line 99]
2008-12-23 00:17:42 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source  in [CORE\cake\libs\model\connection_manager.php, line 114]
2008-12-23 00:24:48 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source  in [CORE\cake\libs\model\connection_manager.php, line 114]
2008-12-23 00:25:45 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source  in [CORE\cake\libs\model\connection_manager.php, line 114]
2008-12-23 00:27:27 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source  in [CORE\cake\libs\model\connection_manager.php, line 114]
2008-12-23 00:32:36 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source  in [CORE\cake\libs\model\connection_manager.php, line 114]
2008-12-23 10:47:45 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'uid' in where clause is ambiguous</span> in [CORE\cake\libs\model\datasources\dbo_source.php, line 521]
2008-12-23 10:47:45 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\home\me.ctp, line 12]
2008-12-23 11:07:08 Warning: Warning (2): array_push() [<a href='http://php.net/function.array-push'>function.array-push</a>]: First argument should be an array in [APP\controllers\home_controller.php, line 29]
2008-12-23 13:56:15 Warning: Warning (2): fopen(D:\usr\webroot\car\app\tmp\cache\persistent\cake_core_default_zh_cn) [<a href='http://php.net/function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in [CORE\cake\libs\file.php, line 146]
2008-12-23 14:23:10 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1406: Data too long for column 'car_name' at row 1</span> in [CORE\cake\libs\model\datasources\dbo_source.php, line 521]
2008-12-23 15:13:05 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '<pre class=    LIMIT 1' at line 1</span> in [CORE\cake\libs\model\datasources\dbo_source.php, line 521]
2008-12-23 15:57:22 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1</span> in [CORE\cake\libs\model\datasources\dbo_source.php, line 521]
2008-12-23 15:57:22 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\controllers\home_controller.php, line 39]
2008-12-23 16:05:18 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1</span> in [CORE\cake\libs\model\datasources\dbo_source.php, line 521]
2008-12-23 16:05:18 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\controllers\home_controller.php, line 39]
2008-12-23 16:28:10 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Array' in 'field list'</span> in [CORE\cake\libs\model\datasources\dbo_source.php, line 521]
2008-12-23 16:29:40 Warning: Warning (2): unlink(D:\usr\webroot\car\app\tmp\cache\persistent\cake_core_core_paths) [<a href='http://php.net/function.unlink'>function.unlink</a>]: Permission denied in [CORE\cake\libs\file.php, line 279]
